champ1,champ2,win,count
11,92,0.474358974,78
59,62,0.525641026,78
141,266,0.538461538,78
31,64,0.5,78
59,141,0.402597403,77
35,107,0.441558442,77
104,131,0.597402597,77
20,113,0.394736842,76
23,104,0.592105263,76
9,107,0.493333333,75
104,111,0.546666667,75
17,64,0.426666667,75
20,131,0.413333333,75
20,154,0.453333333,75
104,154,0.546666667,75
20,57,0.573333333,75
20,245,0.573333333,75
62,121,0.486486486,74
107,157,0.472972973,74
107,120,0.527027027,74
11,29,0.459459459,74
121,555,0.459459459,74
20,56,0.472972973,74
64,102,0.5,74
5,19,0.527027027,74
48,104,0.608108108,74
24,120,0.472972973,74
36,141,0.465753425,73
24,28,0.465753425,73
24,79,0.561643836,73
56,107,0.465753425,73
35,141,0.506849315,73
63,64,0.597222222,72
64,245,0.486111111,72
24,59,0.583333333,72
33,64,0.430555556,72
102,104,0.486111111,72
31,107,0.527777778,72
59,157,0.563380282,71
20,67,0.563380282,71
64,266,0.408450704,71
24,86,0.61971831,71
104,164,0.478873239,71
48,64,0.385714286,70
64,163,0.528571429,70
32,54,0.628571429,70
54,62,0.385714286,70
14,64,0.514285714,70
20,236,0.585714286,70
32,77,0.614285714,70
24,131,0.565217391,69
19,203,0.347826087,69
20,164,0.376811594,69
11,122,0.550724638,69
11,25,0.594202899,69
19,121,0.463768116,69
24,57,0.565217391,69
104,106,0.536231884,69
79,203,0.463768116,69
23,24,0.573529412,68
62,203,0.514705882,68
24,80,0.588235294,68
64,164,0.47761194,67
11,63,0.537313433,67
24,54,0.671641791,67
141,145,0.507462687,67
57,107,0.492537313,67
92,104,0.5,66
32,35,0.545454545,66
24,254,0.575757576,66
32,78,0.515151515,66
32,79,0.454545455,66
63,104,0.651515152,66
23,64,0.393939394,66
76,107,0.53030303,66
76,141,0.484848485,66
64,106,0.545454545,66
56,141,0.454545455,66
84,107,0.378787879,66
24,56,0.409090909,66
78,107,0.615384615,65
33,107,0.323076923,65
92,107,0.492307692,65
24,78,0.476923077,65
20,238,0.646153846,65
20,222,0.523076923,65
32,36,0.53125,64
17,107,0.546875,64
107,266,0.546875,64
157,254,0.5,64
24,92,0.59375,64
19,62,0.359375,64
104,163,0.578125,64
29,64,0.515625,64
32,157,0.714285714,63
24,245,0.53968254,63
78,141,0.46031746,63
59,107,0.587301587,63
141,254,0.571428571,63
203,254,0.428571429,63
2,11,0.365079365,63
79,254,0.532258065,62
92,141,0.403225806,62
20,122,0.403225806,62
54,141,0.580645161,62
203,555,0.370967742,62
54,107,0.516129032,62
20,39,0.419354839,62
86,107,0.5,62
20,75,0.532258065,62
120,141,0.442622951,61
5,59,0.606557377,61
104,122,0.508196721,61
32,254,0.590163934,61
5,203,0.606557377,61
31,157,0.491803279,61
32,145,0.737704918,61
20,412,0.416666667,60
36,107,0.533333333,60
28,62,0.433333333,60
11,164,0.433333333,60
80,107,0.5,60
20,202,0.4,60
32,59,0.666666667,60
6,20,0.466666667,60
57,141,0.542372881,59
11,99,0.525423729,59
107,145,0.627118644,59
24,145,0.610169492,59
24,29,0.525423729,59
5,62,0.389830508,59
19,77,0.372881356,59
20,21,0.413793103,58
17,32,0.551724138,58
24,63,0.551724138,58
31,36,0.689655172,58
35,121,0.431034483,58
36,62,0.620689655,58
57,62,0.568965517,58
27,104,0.568965517,58
19,28,0.438596491,57
32,84,0.561403509,57
84,121,0.438596491,57
62,555,0.49122807,57
32,266,0.49122807,57
24,76,0.631578947,57
5,121,0.421052632,57
28,29,0.421052632,57
28,555,0.385964912,57
84,141,0.438596491,57
9,62,0.438596491,57
9,121,0.473684211,57
29,32,0.660714286,56
20,81,0.517857143,56
121,266,0.428571429,56
29,104,0.464285714,56
121,203,0.428571429,56
11,72,0.527272727,55
39,64,0.545454545,55
9,19,0.490909091,55
59,121,0.509090909,55
17,35,0.381818182,55
19,36,0.509090909,55
14,24,0.545454545,55
11,117,0.581818182,55
32,80,0.518518519,54
102,141,0.462962963,54
28,32,0.592592593,54
62,254,0.425925926,54
14,104,0.5,54
24,33,0.407407407,54
24,266,0.518518519,54
29,141,0.611111111,54
35,203,0.407407407,54
5,555,0.518518519,54
92,157,0.518518519,54
203,266,0.555555556,54
33,141,0.528301887,53
63,141,0.452830189,53
31,203,0.471698113,53
154,157,0.471698113,53
9,59,0.528301887,53
62,79,0.566037736,53
32,86,0.58490566,53
79,555,0.490566038,53
5,79,0.566037736,53
19,555,0.423076923,52
86,121,0.461538462,52
2,20,0.461538462,52
31,555,0.442307692,52
19,120,0.461538462,52
121,254,0.423076923,52
28,121,0.5,52
24,102,0.442307692,52
106,107,0.576923077,52
64,113,0.5,52
25,104,0.519230769,52
62,131,0.549019608,51
106,157,0.588235294,51
84,555,0.274509804,51
20,163,0.470588235,51
11,14,0.529411765,51
36,86,0.529411765,51
19,31,0.529411765,51
31,62,0.588235294,51
14,141,0.490196078,51
57,203,0.58,50
102,107,0.26,50
107,245,0.46,50
32,131,0.62,50
36,203,0.52,50
9,203,0.48,50
32,56,0.5,50
35,62,0.62,50
30,141,0.56,50
30,64,0.632653061,49
5,84,0.367346939,49
78,203,0.428571429,49
54,555,0.530612245,49
17,19,0.408163265,49
54,121,0.428571429,49
62,84,0.408163265,49
56,203,0.448979592,49
3,104,0.448979592,49
120,121,0.428571429,49
5,254,0.469387755,49
54,203,0.448979592,49
5,35,0.428571429,49
99,104,0.469387755,49
57,121,0.632653061,49
17,121,0.448979592,49
24,106,0.428571429,49
86,141,0.408163265,49
113,141,0.571428571,49
9,78,0.583333333,48
141,154,0.5625,48
20,72,0.4375,48
17,62,0.479166667,48
54,59,0.479166667,48
30,104,0.625,48
12,157,0.4375,48
32,122,0.604166667,48
19,56,0.416666667,48
19,54,0.625,48
20,133,0.333333333,48
131,141,0.479166667,48
11,30,0.583333333,48
64,122,0.479166667,48
102,203,0.375,48
32,120,0.520833333,48
33,120,0.458333333,48
39,104,0.375,48
107,131,0.4375,48
19,113,0.270833333,48
23,141,0.510638298,47
24,48,0.574468085,47
14,31,0.680851064,47
29,107,0.425531915,47
23,32,0.595744681,47
24,113,0.382978723,47
11,39,0.446808511,47
3,11,0.553191489,47
91,104,0.489361702,47
60,64,0.553191489,47
107,154,0.574468085,47
14,107,0.510638298,47
145,555,0.5,46
157,203,0.413043478,46
59,203,0.391304348,46
36,121,0.565217391,46
78,79,0.673913043,46
62,266,0.5,46
20,99,0.5,46
141,245,0.586956522,46
63,107,0.6,45
17,254,0.311111111,45
11,53,0.511111111,45
19,86,0.533333333,45
11,163,0.4,45
28,203,0.4,45
78,145,0.555555556,45
23,203,0.533333333,45
77,203,0.533333333,45
62,76,0.466666667,45
48,141,0.488888889,45
23,107,0.6,45
35,555,0.333333333,45
36,555,0.488888889,45
9,79,0.466666667,45
64,67,0.666666667,45
157,266,0.6,45
80,141,0.488888889,45
19,78,0.454545455,44
80,121,0.545454545,44
141,164,0.454545455,44
5,76,0.545454545,44
19,35,0.477272727,44
59,254,0.568181818,44
17,31,0.454545455,44
9,120,0.522727273,44
64,111,0.386363636,44
32,76,0.454545455,44
32,154,0.5,44
84,86,0.340909091,44
17,86,0.5,44
24,164,0.477272727,44
28,120,0.395348837,43
106,203,0.418604651,43
141,238,0.418604651,43
86,203,0.558139535,43
56,120,0.488372093,43
59,79,0.441860465,43
9,86,0.511627907,43
121,157,0.604651163,43
24,122,0.418604651,43
11,91,0.325581395,43
84,157,0.441860465,43
19,79,0.558139535,43
19,254,0.441860465,43
20,105,0.534883721,43
104,105,0.488372093,43
3,20,0.441860465,43
107,122,0.558139535,43
17,157,0.333333333,42
28,86,0.5,42
62,77,0.476190476,42
11,432,0.333333333,42
59,80,0.428571429,42
79,145,0.619047619,42
84,203,0.333333333,42
31,80,0.547619048,42
78,157,0.5,42
120,157,0.452380952,42
78,84,0.428571429,42
62,120,0.452380952,42
24,105,0.571428571,42
20,58,0.571428571,42
11,105,0.571428571,42
20,53,0.428571429,42
59,555,0.619047619,42
107,164,0.463414634,41
64,105,0.390243902,41
9,254,0.414634146,41
9,102,0.536585366,41
5,17,0.512195122,41
11,75,0.512195122,41
5,28,0.390243902,41
53,412,0.463414634,41
28,79,0.512195122,41
9,36,0.609756098,41
77,121,0.43902439,41
120,203,0.512195122,41
31,77,0.463414634,41
5,77,0.414634146,41
32,48,0.682926829,41
19,59,0.536585366,41
9,57,0.512195122,41
57,555,0.365853659,41
104,238,0.585365854,41
62,80,0.463414634,41
24,75,0.56097561,41
10,20,0.609756098,41
20,82,0.317073171,41
21,64,0.512195122,41
3,64,0.6,40
78,555,0.575,40
31,78,0.675,40
11,238,0.325,40
28,254,0.475,40
76,121,0.55,40
31,121,0.475,40
106,141,0.575,40
131,203,0.475,40
11,98,0.425,40
31,59,0.475,40
19,76,0.525,40
64,412,0.4,40
62,154,0.525,40
24,30,0.6,40
2,104,0.55,40
19,48,0.325,40
20,27,0.55,40
28,56,0.375,40
32,102,0.615384615,39
32,245,0.538461538,39
